MODULO,ROL,NUMERO,FUNCIONALIDAD,ACTUAL,"Agregar, Eliminar, cambiar, mover, habilitar, bloquear",observacion,observacion
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.10,EXPORTAR TRAZABILIDAD A PDF,habilitado,OK,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.11,**REABRIR REGISTRO AUDITADO** (SIN SOLICITUD),habilitado,OK,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.12,**ELIMINAR REGISTRO** (PARA PRUEBAS),habilitado,,no se visualiza esta alternativa,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),2.13,VER REGISTROS SOLO DE SUS CONTRATISTAS ASIGNADOS,habilitado,Queremos que se muestre acá la información con la estructura de la visual de HISTORIAL del perfil de CONTRATISTA con los filtros ,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),2.14,FILTRAR POR EECC (SOLO SUS ASIGNADOS),habilitado,En FILTRO AUDITORIA: eliminar terreno/ sistema ya que lo que importa aca es UDITADO / PENDIENTE/ REABIERTO ETC ,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),2.15,VER DETALLE DE REGISTRO DE SUS CONTRATISTAS,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),2.16,EXPORTAR REGISTRO A PDF,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),2.17,VER TRAZABILIDAD DEL REGISTRO,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),2.18,PUEDE ELIMINAR REGISTROS**,❌,,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),2.19,PUEDE REABRIR DIRECTAMENTE** (USA APROBACION SOLICITUD),❌,"Dudas acá ya que pudimos reabrir con el boton ""abrir"" sin necesdiad de la solicitud de reapertura . Además. Una vez que el contratista carga nuevamente el registro cambia automaticamente a SUBSANADO Para este perfil?",,
📋 MODULO 2: GESTION DE REGISTROS,,,INCORPORAR FILTROS,,Esta sección no se visualiza- sin embargo se puede ver en cada program como boton de CREAR REGISTRO,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.20,CREAR NUEVO REGISTRO MENSUAL,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.21,SELECCIONAR SERVICIO/DEPENDENCIA (SI TIENE VARIOS),habilitado,no porque no hay filtro para moverse por dependencias en el dashboard ,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.22,MARCAR CUMPLE/NO CUMPLE POR ACTIVIDAD,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.23,AGREGAR RESPONSABLE POR ACTIVIDAD,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.24,AGREGAR OBSERVACIONES POR ACTIVIDAD,habilitado,se visualiza solo la observacion del auditor. No permite que contratista incorpore sus observaciones ,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.25,SUBIR EVIDENCIAS (HASTA 4 POR ACTIVIDAD),habilitado,Demora mucho para la carga de la evidencia y no se completa. en algunas actividades no se visualiza la opcion de cargar evidencia. Esto debe mostrarse para todos obligatoriamente  y no debe permitir el cierre de la actividad si no carga la evidencia,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.26,ELIMINAR EVIDENCIA PENDIENTE (ANTES DE GUARDAR),habilitado,¿ hasta qué momento o cuantas veces puedo cargar un programa ( editarlo) hasta que pase a revision por el auditor,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.27,GUARDAR REGISTRO (ENVIO),habilitado,ok pero no debe cerrarse la actividad hasta que cargue la evidencia,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.28,EDITAR REGISTRO NO AUDITADO,habilitado,OK,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.29,VER HISTORIAL DE SUS REGISTROS,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.30,VER DETALLE DE SU REGISTRO,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.31,EXPORTAR REGISTRO A PDF,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.32,VER TRAZABILIDAD DE SU REGISTRO,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.33,EDITAR REGISTRO REABIERTO (SUBSANACION),habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.34, PUEDE EDITAR REGISTRO AUDITADO**,❌,,,
📋 MODULO 2: GESTION DE REGISTROS,CONTRATISTA (`CONTRATISTA`),2.35,PUEDE ELIMINAR REGISTROS**,❌,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.1,INICIAR AUDITORIA DE CUALQUIER REGISTRO,habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.2,MARCAR CUMPLE/NO CUMPLE AUDITOR POR ACTIVIDAD,habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.3,AGREGAR OBSERVACION DE AUDITOR POR ACTIVIDAD,habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.4,AGREGAR COMENTARIOS DE AUDITORIA AL REGISTRO,habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.5,SELECCIONAR TIPO DE AUDITORIA (SISTEMA/TERRENO),habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.6,FINALIZAR AUDITORIA,habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.7,PAUSAR Y CONTINUAR AUDITORIA DESPUES,habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.8,REGISTRAR HALLAZGOS,habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR (`ADMIN`),3.9,CAMBIAR ESTADO DE HALLAZGO (ABIERTO/CERRADO),habilitado,,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.10,INICIAR AUDITORIA SOLO DE SUS CONTRATISTAS,habilitado,ok,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.11,MARCAR CUMPLE/NO CUMPLE AUDITOR POR ACTIVIDAD,habilitado,ok,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.12,AGREGAR OBSERVACION DE AUDITOR POR ACTIVIDAD,habilitado,ok,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.13,AGREGAR COMENTARIOS DE AUDITORIA,habilitado,es lo mismo que observacion ,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.14,SELECCIONAR TIPO DE AUDITORIA,habilitado,no se visualiza,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.15,FINALIZAR AUDITORIA,habilitado,ok,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.16,PAUSAR Y CONTINUAR AUDITORIA DESPUES,habilitado,ok,,
🔍 MODULO 3: AUDITORIA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),3.17,REGISTRAR HALLAZGOS,habilitado,no se visualiza donde registrar,,
🔍 MODULO 3: AUDITORIA,CONTRATISTA (`CONTRATISTA`),3.18,VER RESULTADO DE AUDITORIA EN SU REGISTRO,habilitado,ok,,
🔍 MODULO 3: AUDITORIA,CONTRATISTA (`CONTRATISTA`),3.19,VER COMENTARIOS DEL AUDITOR,habilitado,ok,,
🔍 MODULO 3: AUDITORIA,CONTRATISTA (`CONTRATISTA`),3.20,VER HALLAZGOS REGISTRADOS,habilitado,¿ se refiere a la OBSERVACION?,,
🔍 MODULO 3: AUDITORIA,CONTRATISTA (`CONTRATISTA`),3.21,PUEDE AUDITAR**,❌,,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR (`ADMIN`),4.1,VER TODAS LAS SOLICITUDES DE REAPERTURA,habilitado,,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR (`ADMIN`),4.2,FILTRAR SOLICITUDES POR ESTADO (PENDIENTE/APROBADA/RECHAZADA),habilitado,,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR (`ADMIN`),4.3,APROBAR SOLICITUD DE REAPERTURA,habilitado,,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR (`ADMIN`),4.4,DEFINIR FECHA LIMITE DE SUBSANACION,habilitado,,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR (`ADMIN`),4.5,RECHAZAR SOLICITUD CON COMENTARIO,habilitado,,,
MODULO X: PENDIENTES ,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),,,,aquí se debe mostrar los pendientes por auditar o reabiertos por reauditar o los que solicitan reapertura ,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),4.6,VER SOLICITUDES SOLO DE SUS CONTRATISTAS,habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),4.7,APROBAR SOLICITUD DE REAPERTURA,habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),4.8,DEFINIR FECHA LIMITE DE SUBSANACION,habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),4.9,RECHAZAR SOLICITUD CON COMENTARIO,habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,CONTRATISTA (`CONTRATISTA`),4.10,CREAR SOLICITUD DE REAPERTURA (PARA REGISTRO AUDITADO),habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,CONTRATISTA (`CONTRATISTA`),4.11,ESCRIBIR MOTIVO DE LA SOLICITUD,habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,CONTRATISTA (`CONTRATISTA`),4.12,VER ESTADO DE SUS SOLICITUDES,habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,CONTRATISTA (`CONTRATISTA`),4.13,VER FECHA LIMITE DE SUBSANACION (SI APROBADA),habilitado,ok,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,CONTRATISTA (`CONTRATISTA`),4.14,RECIBIR EMAIL CUANDO SOLICITUD ES RESUELTA,habilitado,no podemos validar ,,
🔔 MODULO 4: SOLICITUDES DE REAPERTURA,CONTRATISTA (`CONTRATISTA`),4.15,PUEDE APROBAR/RECHAZAR SOLICITUDES**,❌,,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.1,VER LISTA DE TODOS LOS CONTRATISTAS,habilitado,ok,,
,,,BUSCAR POR NOMBRE/EMAIL,,agregar lista desplegable con busqueda inteligente.,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.2,"FILTRAR POR EECC, DEPENDENCIA, SERVICIO",habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.3,**CREAR NUEVO CONTRATISTA MANUALMENTE**,habilitado,ok,¿ Cómo migraria la información desde oval para que sea automático y no manual? ,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.4,**EDITAR CONTRATISTA**,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.5,VER DETALLE DE CONTRATISTA,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.6,AGREGAR ASIGNACION SERVICIO+DEPENDENCIA,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.7,"EDITAR ASIGNACION (ADMIN CONTRATO, FECHA INICIO)",habilitado,ok,de donde se trae la información ( dependencias) para la lista desplegable?,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.8,ELIMINAR ASIGNACION,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.9,**ASIGNAR ADMINISTRADOR DE CONTRATO**,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.10,**ACTIVAR/DESACTIVAR CONTRATISTA**,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.11,**ELIMINAR CONTRATISTA**,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.12,VER USUARIOS ASOCIADOS DEL CONTRATISTA,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR (`ADMIN`),5.13,AGREGAR USUARIO ASOCIADO AL CONTRATISTA,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),5.14,VER SOLO SUS CONTRATISTAS ASIGNADOS,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),5.15,VER DETALLE DEL CONTRATISTA,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),5.16,PUEDE CREAR CONTRATISTAS**,❌,,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),5.17,PUEDE EDITAR CONTRATISTAS**,❌,,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),5.18,PUEDE ELIMINAR CONTRATISTAS**,❌,,,
👥 MODULO 5: GESTION DE CONTRATISTAS,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),5.19, PUEDE CAMBIAR ASIGNACIONES**,❌,,,
👥 MODULO 5: GESTION DE CONTRATISTAS,CONTRATISTA (`CONTRATISTA`),5.20,VER SUS PROPIOS DATOS,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,CONTRATISTA (`CONTRATISTA`),5.21,**CREAR USUARIOS ASOCIADOS (OPERATIVOS)**,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,CONTRATISTA (`CONTRATISTA`),5.22,EDITAR USUARIOS ASOCIADOS,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,CONTRATISTA (`CONTRATISTA`),5.23,ELIMINAR USUARIOS ASOCIADOS,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,CONTRATISTA (`CONTRATISTA`),5.24,ASIGNAR SERVICIO/DEPENDENCIA A USUARIO OPERATIVO,habilitado,ok,,
👥 MODULO 5: GESTION DE CONTRATISTAS,CONTRATISTA (`CONTRATISTA`),5.25,PUEDE EDITAR SUS DATOS MAESTROS**,❌,,,
👥 MODULO 5: GESTION DE CONTRATISTAS,CONTRATISTA (`CONTRATISTA`),5.26,PUEDE VER OTROS CONTRATISTAS**,❌,,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.1,VER LISTA DE USUARIOS ADMIN/ADMIN_CONTRATO,habilitado,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.2,FILTRAR POR ROL,habilitado,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.3,BUSCAR POR NOMBRE/EMAIL,habilitado,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.4,CREAR NUEVO USUARIO ADMIN,habilitado,ok,la contraseña se genera automaticamente? O se coloca manual,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.5,CREAR NUEVO USUARIO ADMIN_CONTRATO,habilitado,ok,la contraseña se genera automaticamente? O se coloca manual,
,,,CREAR NUEVO USUARIO ADMIN EECC,,,agregarlo al desplegable para crearlo desde la seccion usuarios y luego asignarlo desde la seccion contratistas ( VER),
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.6,EDITAR USUARIO,habilitado,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.7,CAMBIAR CONTRASENA DE USUARIO,habilitado,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.8,CAMBIAR ROL DE USUARIO,habilitado,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.9,ELIMINAR USUARIO,habilitado,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.10,ACTIVAR/DESACTIVAR USUARIO,habilitado,,no se visualiza esta alternativa,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR (`ADMIN`),6.11,VER CONTRATISTAS ASIGNADOS A UN ADMIN_CONTRATO,habilitado,,no se visualiza esta alternativa,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),6.12,PUEDE VER LISTA DE USUARIOS ABASTIBLE**,❌,,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),6.13,PUEDE CREAR USUARIOS**,❌,,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),6.14,EDITAR SU PROPIO PERFIL,✅,ok,,
👤 MODULO 6: GESTION DE USUARIOS ABASTIBLE,CONTRATISTA (`CONTRATISTA`),6.15,TIENE ACCESO A ESTE MODULO**,❌,,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.1,VER LISTA DE PROGRAMAS,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.2,CREAR NUEVO PROGRAMA,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.3,EDITAR PROGRAMA,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.4,ELIMINAR PROGRAMA,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.5,VER ELEMENTOS DE UN PROGRAMA,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.6,CREAR NUEVO ELEMENTO,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.7,EDITAR ELEMENTO,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.8,ELIMINAR ELEMENTO,habilitado,ok,esto se hace desde editar elemento ( quitar ticket de activo?),
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.9,VER ACTIVIDADES DE UN ELEMENTO,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.10,CREAR NUEVA ACTIVIDAD,habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.11,"EDITAR ACTIVIDAD (CRITERIOS, FRECUENCIA, ETC.)",habilitado,ok,,
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.12,ELIMINAR ACTIVIDAD,habilitado,,esto se hace desde editar actividad ( quitar ticket de activo?),
"📚 MODULO 7: PROGRAMAS, ELEMENTOS Y ACTIVIDADES",ADMINISTRADOR (`ADMIN`),7.13,MARCAR ACTIVIDAD COMO REQUIERE EVIDENCIA,habilitado,ok,,
